Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,eigencentrality,clustering,triangles
16282,16282,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, Alexander V.'}",{'department': '[518] кафедра оптической физики и современного естествознания'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 34},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[518] кафедра оптической физики и современного естествознания'},72,443,5,0.34169,0.402347,26685.473352,0.00586,0,2,0.769714,0.143975,368
16283,16283,,{'scopus_id': 14008386700},"{'full_name': 'Fedorov, Anatoly V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 33},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},69,438,5,0.338542,0.397436,22976.193835,0.005633,0,2,0.73965,0.155584,365
16199,16199,,{'scopus_id': 7006167582},"{'full_name': 'Belov, Pavel A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 28},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},68,311,5,0.350914,0.408935,32355.665275,0.00552,0,17,0.874846,0.154083,351
16343,16343,,{'scopus_id': 36038963000},"{'full_name': 'Kivshar, Yuri S.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 22},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},71,319,5,0.350768,0.409645,25804.802478,0.005395,0,17,1,0.176258,438
16167,16167,,{'scopus_id': 55725403900},"{'full_name': 'Smirnov, Alexander'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 21},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},24,144,6,0.284416,0.317771,6040.681516,0.002695,0,3,0.094486,0.257246,71
16181,16181,,{'scopus_id': 57203257735},"{'full_name': 'Sidorov, A. I.'}",{'department': '[514] кафедра оптоинформационных технологий и материалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[514] кафедра оптоинформационных технологий и материалов'},40,163,6,0.316361,0.357515,17372.303685,0.004418,0,1,0.208069,0.135897,106
16169,16169,,{'scopus_id': 55932123000},"{'full_name': 'Shilov, Nikolay'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},22,127,6,0.284129,0.316391,5055.486466,0.002446,0,3,0.090432,0.277056,64
16297,16297,,{'scopus_id': 7202910606},"{'full_name': 'Petrov, N. V.'}",{'department': '[519] кафедра фотоники и оптоинформатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[519] кафедра фотоники и оптоинформатики'},33,109,6,0.309751,0.348876,18992.908258,0.003744,0,27,0.139186,0.121212,64
16269,16269,,{'scopus_id': 8375851500},"{'full_name': 'Efimov, D.'}",{'department': '[101] кафедра систем управления и информатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 16},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[101] кафедра систем управления и информатики'},31,111,6,0.296179,0.335878,14541.958085,0.003438,0,4,0.129411,0.150538,70
16208,16208,,{'scopus_id': 36349158600},"{'full_name': 'Furtat, Igor B.'}",{'department': '[101] кафедра систем управления и информатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[101] кафедра систем управления и информатики'},16,41,6,0.283082,0.311183,6096.328882,0.001947,0,0,0.072021,0.191667,23
