Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
14972,14972,,{'scopus_id': 7006167582},"{'full_name': 'Belov, Pavel'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 48},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},121,543,6,0.358942,0.427542,65547.061793,0.006955,0,0,0.099449,722,1
15168,15168,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, A. V.'}",{'department': '[518] кафедра оптической физики и современного естествознания'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 26},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[518] кафедра оптической физики и современного естествознания'},76,331,6,0.338119,0.389919,49114.216038,0.004651,0,8,0.130526,372,0.39882
14980,14980,,{'scopus_id': 36038963000},"{'full_name': 'Kivshar, Yu S.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 25},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},78,363,6,0.338516,0.392215,19980.731575,0.004257,0,0,0.164835,495,0.779819
15167,15167,,{'scopus_id': 14008386700},"{'full_name': 'Fedorov, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 24},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},63,305,6,0.328027,0.375765,26562.597043,0.003854,0,8,0.164363,321,0.35469
15171,15171,,{'scopus_id': 7003772604},"{'full_name': 'Nikonorov, N. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 24},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},54,215,6,0.321897,0.367345,36709.308538,0.003801,0,4,0.143256,205,0.221601
14989,14989,,{'scopus_id': 8375851500},"{'full_name': 'Efimov, Denis'}",{'department': '[101] кафедра систем управления и информатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[101] кафедра систем управления и информатики'},42,154,7,0.29068,0.331041,24869.126913,0.003505,0,3,0.11266,97,0.105619
15038,15038,,{'scopus_id': 35572352400},"{'full_name': 'Simovski, Constantin'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Finland'},{'university': 'Aalto University'},{'position': 'ведущий научный сотрудник'},{'total_pub': 21},{'itmo_and_others': 'Finland'},{'itmo_depart_and_others': 'Finland'},59,214,6,0.345612,0.391031,32109.891606,0.003555,0,0,0.156634,268,0.542997
15121,15121,,{'scopus_id': 55725403900},"{'full_name': 'Smirnov, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},33,127,6,0.286495,0.31892,23295.942097,0.003075,0,1,0.130682,69,0.073958
15096,15096,,{'scopus_id': 57203257735},"{'full_name': 'Sidorov, A. I.'}",{'department': '[514] кафедра оптоинформационных технологий и материалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[514] кафедра оптоинформационных технологий и материалов'},41,149,6,0.309632,0.346649,18458.884188,0.003165,0,4,0.14878,122,0.167515
15170,15170,,{'scopus_id': 7004361788},"{'full_name': 'Kolobkova, E. V.'}",{'department': '[514] кафедра оптоинформационных технологий и материалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 17},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[514] кафедра оптоинформационных технологий и материалов'},38,160,7,0.306426,0.341729,14674.573262,0.002778,0,4,0.200569,141,0.147912
