Source,Target,Type,Id,Label,timeset,Weight
13431,13432,Undirected,0,,,4
13431,13433,Undirected,1,,,4
13431,13434,Undirected,2,,,4
13432,13433,Undirected,3,,,15
13432,13434,Undirected,4,,,21
13432,13435,Undirected,5,,,5
13432,13436,Undirected,6,,,16
13432,13437,Undirected,7,,,2
13432,13438,Undirected,8,,,3
13432,13439,Undirected,9,,,5
13432,13592,Undirected,10,,,4
13432,13935,Undirected,11,,,4
13432,13936,Undirected,12,,,9
13432,13949,Undirected,13,,,5
13432,14056,Undirected,14,,,3
13432,14057,Undirected,15,,,3
13432,14058,Undirected,16,,,3
13432,14304,Undirected,17,,,4
13432,14305,Undirected,18,,,4
13432,14306,Undirected,19,,,2
13432,14344,Undirected,20,,,3
13432,14345,Undirected,21,,,1
13432,14188,Undirected,22,,,1
13432,14374,Undirected,23,,,5
13432,14375,Undirected,24,,,2
13432,14376,Undirected,25,,,2
13432,14377,Undirected,26,,,2
13432,14379,Undirected,27,,,2
13432,14380,Undirected,28,,,2
13432,14437,Undirected,29,,,6
13432,14438,Undirected,30,,,1
13432,14455,Undirected,31,,,2
13432,14480,Undirected,32,,,3
13432,14481,Undirected,33,,,5
13432,14569,Undirected,34,,,4
13432,14591,Undirected,35,,,4
13432,14593,Undirected,36,,,2
13432,14594,Undirected,37,,,4
13432,14595,Undirected,38,,,7
13432,14501,Undirected,39,,,1
13432,14749,Undirected,40,,,3
13432,14940,Undirected,41,,,2
13432,14941,Undirected,42,,,3
13432,14942,Undirected,43,,,4
13433,13434,Undirected,45,,,14
13433,13435,Undirected,46,,,5
13433,13436,Undirected,47,,,12
13433,13592,Undirected,48,,,4
13433,13935,Undirected,49,,,4
13433,13936,Undirected,50,,,8
13433,13949,Undirected,51,,,5
13433,14481,Undirected,52,,,5
13433,13439,Undirected,53,,,1
13433,14569,Undirected,54,,,4
13433,14594,Undirected,55,,,2
13433,14595,Undirected,56,,,7
13433,14501,Undirected,57,,,1
13433,14942,Undirected,58,,,4
13434,13435,Undirected,59,,,5
13434,13436,Undirected,60,,,14
13434,13592,Undirected,61,,,4
13434,13935,Undirected,62,,,4
13434,13936,Undirected,63,,,7
13434,13949,Undirected,64,,,5
13434,14056,Undirected,65,,,3
13434,14057,Undirected,66,,,3
13434,14058,Undirected,67,,,3
13434,14304,Undirected,68,,,2
13434,14305,Undirected,69,,,2
13434,14306,Undirected,70,,,2
13434,14379,Undirected,71,,,2
13434,14380,Undirected,72,,,2
13434,14437,Undirected,73,,,6
13434,13439,Undirected,74,,,2
13434,14438,Undirected,75,,,1
13434,14455,Undirected,76,,,2
13434,14481,Undirected,77,,,5
13434,14569,Undirected,78,,,4
13434,14591,Undirected,79,,,4
13434,14595,Undirected,80,,,4
13434,14501,Undirected,81,,,1
13434,14942,Undirected,82,,,4
13435,13436,Undirected,84,,,14
13436,13437,Undirected,85,,,4
13436,13438,Undirected,86,,,2
13436,13592,Undirected,87,,,4
13436,14437,Undirected,88,,,6
13436,13439,Undirected,89,,,1
13436,14438,Undirected,90,,,1
13436,14569,Undirected,91,,,4
13436,14591,Undirected,92,,,4
13437,13438,Undirected,93,,,2
13438,13439,Undirected,94,,,6
13439,14062,Undirected,95,,,2
13439,14063,Undirected,96,,,2
13439,14064,Undirected,97,,,2
13439,14065,Undirected,98,,,1
13439,14437,Undirected,99,,,5
13439,14438,Undirected,100,,,1
13439,14481,Undirected,101,,,5
13439,13936,Undirected,102,,,1
13440,13441,Undirected,103,,,10
13440,13442,Undirected,104,,,4
13440,13443,Undirected,105,,,10
13440,13444,Undirected,106,,,10
13440,13445,Undirected,107,,,6
13440,13446,Undirected,108,,,5
13440,13447,Undirected,109,,,6
13440,13955,Undirected,110,,,6
13440,14165,Undirected,111,,,4
13440,14700,Undirected,112,,,11
13440,14066,Undirected,113,,,2
13440,14701,Undirected,114,,,3
13440,14736,Undirected,115,,,6
13440,14737,Undirected,116,,,8
13440,14063,Undirected,117,,,1
13441,13442,Undirected,118,,,4
13441,13443,Undirected,119,,,10
13441,13444,Undirected,120,,,10
13441,13445,Undirected,121,,,6
13441,13446,Undirected,122,,,5
13441,13447,Undirected,123,,,6
13441,13955,Undirected,124,,,6
13441,14165,Undirected,125,,,6
13441,13549,Undirected,126,,,1
13441,14700,Undirected,127,,,11
13441,14066,Undirected,128,,,2
13441,14701,Undirected,129,,,3
13441,14736,Undirected,130,,,6
13441,14737,Undirected,131,,,8
13441,14063,Undirected,132,,,1
13442,13443,Undirected,133,,,4
13442,13444,Undirected,134,,,4
13442,13445,Undirected,135,,,4
13442,13446,Undirected,136,,,4
13442,13447,Undirected,137,,,4
13443,13444,Undirected,138,,,15
13443,13445,Undirected,139,,,6
13443,13446,Undirected,140,,,5
13443,13447,Undirected,141,,,6
13443,13955,Undirected,142,,,6
13443,14165,Undirected,143,,,4
13443,14188,Undirected,144,,,7
13443,14189,Undirected,145,,,4
13443,14063,Undirected,146,,,5
13443,14378,Undirected,147,,,5
13443,14700,Undirected,148,,,11
13443,14066,Undirected,149,,,2
13443,14701,Undirected,150,,,3
13443,14735,Undirected,151,,,7
13443,14736,Undirected,152,,,9
13443,14737,Undirected,153,,,8
13444,13445,Undirected,154,,,6
13444,13446,Undirected,155,,,5
13444,13447,Undirected,156,,,6
13444,13536,Undirected,157,,,3
13444,13537,Undirected,158,,,2
13444,13538,Undirected,159,,,2
13444,13955,Undirected,160,,,6
13444,14165,Undirected,161,,,4
13444,14188,Undirected,162,,,8
13444,14189,Undirected,163,,,4
13444,14063,Undirected,164,,,5
13444,14378,Undirected,165,,,5
13444,14700,Undirected,166,,,11
13444,14066,Undirected,167,,,2
13444,14701,Undirected,168,,,3
13444,14735,Undirected,169,,,7
13444,14736,Undirected,170,,,9
13444,14737,Undirected,171,,,8
13444,14964,Undirected,172,,,3
13444,14965,Undirected,173,,,1
13445,13446,Undirected,174,,,4
13445,13447,Undirected,175,,,5
