Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,modularity_class,clustering,triangles
11459,11459,,{'scopus_id': 7006167582},"{'full_name': 'Belov, Pavel A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 51},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},145,636,6,0.353458,0.407574,140970.436257,0.00425,0,0,0.098659,1030
11855,11855,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, A.'}",{'department': '[518] кафедра оптической физики и современного естествознания'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 38},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[518] кафедра оптической физики и современного естествознания'},127,573,6,0.3302,0.383489,129082.906704,0.003909,0,13,0.099988,800
11564,11564,,{'scopus_id': 57205955669},"{'full_name': 'Makarov, S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 37},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},110,612,6,0.336058,0.384567,51401.21693,0.003017,0,0,0.161134,966
11595,11595,,{'scopus_id': 57191198114},"{'full_name': 'Zuev, Dmitry A.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 32},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},98,517,6,0.341524,0.386396,49792.433552,0.002721,0,0,0.167894,798
11515,11515,,{'scopus_id': 36038963000},"{'full_name': 'Kivshar, Yuri'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 30},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},109,427,6,0.350954,0.3973,113772.471099,0.003183,0,1,0.120625,710
11507,11507,,{'scopus_id': 55436864100},"{'full_name': 'Milichko, Valentin A.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 29},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},87,446,6,0.330935,0.374707,32186.923418,0.002419,0,0,0.195937,733
11492,11492,,{'scopus_id': 56393877900},"{'full_name': 'Bogdanov, Andrey A.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 28},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},83,413,6,0.331162,0.374396,52687.907603,0.002325,0,0,0.17367,591
11981,11981,,{'scopus_id': 14008386700},"{'full_name': 'Fedorov, Anatoly V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 27},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},63,334,7,0.307154,0.345878,24655.318048,0.002035,0,13,0.179724,351
11581,11581,,{'scopus_id': 55960365900},"{'full_name': 'Petrov, M. I.'}",{'department': '[277] кафедра нанофотоники и метаматериалов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 24},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[277] кафедра нанофотоники и метаматериалов'},71,303,6,0.326021,0.365131,38202.73939,0.002351,0,0,0.177062,440
12006,12006,,{'scopus_id': 8375851500},"{'full_name': 'Efimov, Denis'}",{'department': '[101] кафедра систем управления и информатики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ведущий научный сотрудник'},{'total_pub': 21},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[101] кафедра систем управления и информатики'},37,158,7,0.276276,0.303221,28881.227317,0.001689,0,13,0.153153,102
