Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles
9134,9134,,{'scopus_id': 56393877900},"{'full_name': 'Bogdanov, A. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 30},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},94,399,7,0.327345,0.372173,67458.70589,0,11,0.125829,550
9858,9858,,{'scopus_id': 15925268000},"{'full_name': 'Kotenko, Igor'}",{'department': '[763] факультет безопасности информационных технологий'},{'country': 'Russian Federation'},{'university': 'St. Petersburg Federal Research Center of the Russian Academy of Sciences'},{'position': 'ведущий научный сотрудник'},{'total_pub': 30},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},40,141,7,0.292708,0.31895,56587.037794,0,7,0.073077,57
9143,9143,,{'scopus_id': 56196347700},"{'full_name': 'Glybovski, S. B.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 29},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},77,340,6,0.315298,0.352642,58008.320532,0,0,0.146617,429
9359,9359,,{'scopus_id': 22835225400},"{'full_name': 'Iorsh, I. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 28},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},80,257,7,0.347773,0.387555,136315.931786,0,11,0.139557,441
9230,9230,,{'scopus_id': 7005945087},"{'full_name': 'Cirlin, G. E.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'St Petersburg National Research Academic University of the Russian Academy of Sciences'},{'position': nan},{'total_pub': 27},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},84,444,7,0.32067,0.360544,46493.233675,0,2,0.170683,595
9140,9140,,{'scopus_id': 36038963000},"{'full_name': 'Kivshar, Yu S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 26},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},87,359,6,0.341921,0.380401,77294.235856,0,11,0.154771,579
9145,9145,,{'scopus_id': 7006167582},"{'full_name': 'Belov, P. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 26},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},93,373,6,0.342125,0.382382,95300.13213,0,0,0.145161,621
9242,9242,,{'scopus_id': 7003951067},"{'full_name': 'Shelykh, Ivan A.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'главный научный сотрудник'},{'total_pub': 26},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},75,269,6,0.31128,0.345681,101631.793651,0,21,0.124685,346
9295,9295,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, Alexander V.'}",{'department': '[720] факультет фотоники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 26},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[720] факультет фотоники'},94,413,8,0.321524,0.360927,87759.568084,0,1,0.139099,608
9229,9229,,{'scopus_id': 35573748100},"{'full_name': 'Kirilenko, D. A.'}",{'department': '[164] транснациональная научно-образовательная лаборатория перспективных методов исследования материалов UniFEL'},{'country': 'Russian Federation'},{'university': 'Ioffe Institute'},{'position': 'инженер'},{'total_pub': 24},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},128,439,7,0.327859,0.375403,128054.53017,0,29,0.106791,868
9142,9142,,{'scopus_id': 54685165900},"{'full_name': 'Slobozhanyuk, A. P.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},68,296,6,0.317083,0.351198,64588.920848,0,0,0.162862,371
9221,9221,,{'scopus_id': 57205955669},"{'full_name': 'Makarov, S. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},92,292,7,0.345731,0.387954,93449.605403,0,11,0.130435,546
9311,9311,,{'scopus_id': 14008386700},"{'full_name': 'Fedorov, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 22},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},72,363,8,0.316996,0.352492,42802.343754,0,1,0.200704,513
