Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,eigencentrality,clustering,triangles,componentnumber,modularity_class
2978,2978,,{'scopus_id': 57205955669},"{'full_name': 'Makarov, S. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 42},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},161,633,7,0.339565,0.387355,320613.447405,0,0.990196,0.09146,1178,0,6
3623,3623,,{'scopus_id': 57210318844},"{'full_name': 'Shukalov, A. V.'}",{'department': '[763] факультет безопасности информационных технологий'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""доцент практики"")'}",{'total_pub': 38},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[763] факультет безопасности информационных технологий'},23,249,8,0.25985,0.2781,19281.755349,0,0.037097,0.241107,61,0,27
3624,3624,,{'scopus_id': 57212047827},"{'full_name': 'Zharinov, I. O.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 37},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},21,244,8,0.258919,0.27653,13419.125591,0,0.035791,0.285714,60,0,27
3405,3405,,{'scopus_id': 57208461934},"{'full_name': 'Kivshar, Yuri'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'главный научный сотрудник'},{'total_pub': 33},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},125,548,7,0.319308,0.363188,213220.477829,0,0.591747,0.09471,734,0,6
3128,3128,,{'scopus_id': 56393877900},"{'full_name': 'Bogdanov, Andrey'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 32},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},89,291,7,0.310248,0.350449,108489.038225,0,0.499714,0.104188,408,0,6
3086,3086,,{'scopus_id': 8375851500},"{'full_name': 'Efimov, Denis'}",{'department': '[773] мегафакультет компьютерных технологий и управления'},{'country': 'France'},{'university': 'Université de Lille'},{'position': 'ведущий научный сотрудник'},{'total_pub': 31},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},58,226,7,0.300054,0.325562,125334.307535,0,0.105091,0.101028,167,0,0
2933,2933,,{'scopus_id': 7201565128},"{'full_name': 'Baranov, A.'}",{'department': '[720] факультет фотоники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 30},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[720] факультет фотоники'},117,495,7,0.310625,0.348236,124847.543548,0,0.572914,0.129384,878,0,27
2861,2861,,{'scopus_id': 56819964000},"{'full_name': 'Babichev, A. V.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 29},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},131,772,7,0.313024,0.352578,149374.044773,0,0.858507,0.158074,1346,0,5
2852,2852,,{'scopus_id': 36761195300},"{'full_name': 'Mukhin, I. S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 28},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},133,505,6,0.334811,0.38047,210477.154367,0,1,0.126339,1109,0,18
2858,2858,,{'scopus_id': 7005945087},"{'full_name': 'Cirlin, G. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 27},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},110,462,7,0.311032,0.349484,81737.803194,0,0.646553,0.140617,843,0,18
3141,3141,,{'scopus_id': 14061225700},"{'full_name': 'Shalin, Alexander S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 27},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},57,252,7,0.29204,0.323799,34482.916845,0,0.236561,0.166667,266,0,26
3132,3132,,{'scopus_id': 56196347700},"{'full_name': 'Glybovski, Stanislav'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 25},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},85,338,7,0.29737,0.332943,77981.682182,0,0.328375,0.139776,499,0,26
2866,2866,,{'scopus_id': 7202362169},"{'full_name': 'Egorov, A. Yu'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Connector Optics LLC'},{'position': nan},{'total_pub': 24},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},92,647,7,0.304982,0.337977,62020.147727,0,0.676711,0.23483,983,0,5
2860,2860,,{'scopus_id': 6701588481},"{'full_name': 'Gladyshev, A. G.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},79,636,7,0.293484,0.325026,24672.008677,0,0.609125,0.296008,912,0,5
2863,2863,,{'scopus_id': 7202658480},"{'full_name': 'Novikov, I. I.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[840] лаборатория однофотонных детекторов и генераторов'},79,636,7,0.293484,0.325026,24672.008677,0,0.609125,0.296008,912,0,5
3635,3635,,{'scopus_id': 57021875400},"{'full_name': 'Zakoldaev, D. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},13,168,8,0.249269,0.264717,4054.087512,0,0.026381,0.512821,40,0,27
3715,3715,,{'scopus_id': 56974083200},"{'full_name': 'Demidova, Galina'}",{'department': '[761] факультет систем управления и робототехники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[761] факультет систем управления и робототехники'},57,238,7,0.274643,0.298547,84578.94786,0,0.082614,0.130326,208,0,25
2864,2864,,{'scopus_id': 6603558355},"{'full_name': 'Karachinsky, L. Ya'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 22},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},75,605,7,0.286182,0.316066,16206.931761,0,0.57576,0.309189,858,0,5
2934,2934,,{'scopus_id': 16444444600},"{'full_name': 'Khodzitsky, M.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 22},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},57,353,7,0.29429,0.321461,66043.59593,0,0.193888,0.229323,366,0,3
3416,3416,,{'scopus_id': 7003951067},"{'full_name': 'Shelykh, I. A.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'главный научный сотрудник'},{'total_pub': 21},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},88,266,7,0.301606,0.335094,152675.065014,0,0.312792,0.127482,488,0,11
2834,2834,,{'scopus_id': 22835225400},"{'full_name': 'Iorsh, I. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},63,189,7,0.297051,0.33103,49145.349137,0,0.329157,0.175115,342,0,11
2979,2979,,{'scopus_id': 35413120500},"{'full_name': 'Zakhidov, A. A.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'главный научный сотрудник'},{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},83,309,7,0.318818,0.354653,102433.745665,0,0.480446,0.14546,495,0,6
3394,3394,,{'scopus_id': 7202910606},"{'full_name': 'Petrov, Nikolay V.'}",{'department': '[720] факультет фотоники'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 20},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[720] факультет фотоники'},57,215,7,0.286799,0.313309,81970.869269,0,0.128736,0.14787,236,0,12
2850,2850,,{'scopus_id': 36993639000},"{'full_name': 'Bolshakov, A. D.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Alferov University'},{'position': nan},{'total_pub': 19},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},71,322,7,0.315819,0.348992,37522.590102,0,0.565697,0.232998,579,0,18
2903,2903,,{'scopus_id': 56940302800},"{'full_name': 'Baranov, M.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'младший научный сотрудник'},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},102,330,7,0.308692,0.34633,149242.616858,0,0.553663,0.136478,703,0,27
3368,3368,,{'scopus_id': 36573298700},"{'full_name': 'Cherevkov, Sergei'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",82,348,7,0.308349,0.342861,61783.183538,0,0.498305,0.186992,621,0,27
3370,3370,,{'scopus_id': 55269778900},"{'full_name': 'Litvin, Aleksandr'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},89,327,7,0.309066,0.345433,78027.082663,0,0.531816,0.1619,634,0,27
2851,2851,,{'scopus_id': 57061690000},"{'full_name': 'Fedorov, V. V.'}",{'department': '[671] национальный центр когнитивных разработок'},{'country': 'Russian Federation'},{'university': 'Alferov University'},{'position': 'инженер'},{'total_pub': 18},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},66,321,7,0.314832,0.347408,30976.415534,0,0.544377,0.26014,558,0,18
2853,2853,,{'scopus_id': 57035485600},"{'full_name': 'Reznik, R. R.'}",{'department': '[840] лаборатория однофотонных детекторов и генераторов'},{'country': 'Russian Federation'},{'university': 'Alferov University'},{'position': 'младший научный сотрудник'},{'total_pub': 18},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},64,251,7,0.291681,0.322338,24439.614601,0,0.322829,0.177083,357,0,18
2929,2929,,{'scopus_id': 57194214776},"{'full_name': 'Demchenko, P.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},54,309,7,0.293406,0.320112,55937.902514,0,0.19063,0.245283,351,0,3
2950,2950,,{'scopus_id': 55507568200},"{'full_name': 'Filchenkov, Andrey'}",{'department': '[717] факультет информационных технологий и программирования'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[717] факультет информационных технологий и программирования'},53,137,7,0.263893,0.28635,102886.974098,0,0.065545,0.125544,173,0,19
