Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles,componentnumber
8,8,,{'scopus_id': 57208461934},"{'full_name': 'Kivshar, Yuri'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 48},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},126,655,6,0.35064,0.394516,270357.44604,0.616925,35,0.092952,732,0
171,171,,{'scopus_id': 56393877900},"{'full_name': 'Bogdanov, A. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 45},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},123,566,6,0.347502,0.391834,333971.226517,0.573881,5,0.081567,612,0
135,135,,{'scopus_id': 57205955669},"{'full_name': 'Makarov, Sergey V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 44},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},182,717,6,0.35263,0.406384,284966.804042,1,4,0.079352,1307,0
29,29,,{'scopus_id': 36761195300},"{'full_name': 'Mukhin, I. S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 34},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},139,565,6,0.356405,0.404685,312310.353578,0.872119,1,0.114378,1097,0
9,9,,{'scopus_id': 55960365900},"{'full_name': 'Petrov, Mihail I.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 29},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},85,356,6,0.323387,0.359675,86553.98599,0.432945,35,0.121849,435,0
360,360,,{'scopus_id': 8375851500},"{'full_name': 'Efimov, Denis'}",{'department': '[773] мегафакультет компьютерных технологий и управления'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'ведущий научный сотрудник'},{'total_pub': 23},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[773] мегафакультет компьютерных технологий и управления'},51,156,7,0.279321,0.308797,99651.383099,0.075587,10,0.090196,115,0
451,451,,{'scopus_id': 56800405100},"{'full_name': 'Koshelev, Kirill'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 21},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},70,360,7,0.319142,0.354021,40203.883212,0.365373,35,0.178468,431,0
132,132,,{'scopus_id': 46761422200},"{'full_name': 'Pushkarev, Anatoly P.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},89,316,6,0.333135,0.374583,69240.144198,0.56941,4,0.14811,580,0
316,316,,{'scopus_id': 13405992500},"{'full_name': 'Rybin, Mikhail V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},62,184,6,0.324965,0.36098,85536.665205,0.328893,35,0.135907,257,0
457,457,,{'scopus_id': 55382199400},"{'full_name': 'Kovalchuk, Sergey V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},44,118,7,0.261798,0.286255,78119.390921,0.048958,6,0.105708,100,0
544,544,,{'scopus_id': 57210318844},"{'full_name': 'Shukalov, A. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},18,122,8,0.247368,0.264823,16703.634795,0.023975,0,0.294118,45,0
546,546,,{'scopus_id': 57212047827},"{'full_name': 'Zharinov, I. O.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 19},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},15,122,8,0.246365,0.263232,8516.773352,0.022387,0,0.371429,39,0
1,1,,{'scopus_id': 7003951067},"{'full_name': 'Shelykh, I. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 18},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},86,239,7,0.272515,0.308252,66448.756276,0.184969,19,0.126949,464,0
